EmployeeID,Age,Gender,Department,Tenure,JobRole,Salary,JobSatisfaction,EngagementScore,PerformanceRating,Overtime,DistanceFromHome,EducationLevel,TrainingHours,WorkLifeBalance
E00001,50,Male,R&D,3,R&D Engineer,87816,4,64,3,No,9,Bachelor's,28,1
E00002,36,Female,R&D,2,Manager,108768,5,61,4,Yes,18,Bachelor's,63,1
E00003,29,Male,Finance,12,Analyst,96083,1,96,4,No,5,High School,32,4
E00004,42,Female,Marketing,4,Developer,85718,1,96,1,No,19,Master's,35,4
E00005,40,Female,Sales,14,Developer,99647,4,83,2,No,14,Master's,74,4
E00006,44,Male,Finance,16,Developer,78682,2,53,4,No,5,PhD,73,5
E00007,32,Female,Sales,4,Manager,68942,3,65,3,Yes,4,High School,41,1
E00008,32,Female,R&D,12,HR Specialist,86931,3,86,2,Yes,10,PhD,61,5
E00009,45,Female,HR,19,Sales Executive,90098,4,86,4,Yes,28,Master's,37,3
E00010,57,Female,Marketing,19,Analyst,48426,1,59,5,No,2,Master's,48,3
E00011,45,Male,Sales,12,Manager,50145,1,67,4,Yes,25,Master's,50,4
E00012,24,Female,Sales,15,Developer,79373,4,66,3,Yes,16,PhD,40,1
E00013,43,Female,Sales,3,Manager,45313,3,56,2,No,3,PhD,38,3
E00014,23,Male,R&D,19,Analyst,74529,3,52,5,Yes,15,Master's,59,2
E00015,45,Male,Marketing,15,Sales Executive,101589,4,86,5,No,29,Bachelor's,67,3
E00016,51,Male,HR,7,Analyst,59517,5,90,3,No,7,PhD,55,2
E00017,59,Female,HR,4,R&D Engineer,107440,5,83,5,Yes,11,Master's,74,2
E00018,23,Female,Sales,1,Manager,81263,1,70,3,No,21,Master's,52,3
E00019,42,Female,HR,9,R&D Engineer,48153,4,56,4,No,11,PhD,56,4
E00020,54,Female,Finance,7,Developer,95427,2,72,3,No,23,Bachelor's,76,1
E00021,33,Male,HR,5,R&D Engineer,94756,1,53,3,No,12,PhD,62,4
E00022,43,Male,Sales,9,Developer,85856,3,72,4,No,12,High School,30,2
E00023,46,Female,Finance,6,HR Specialist,71824,1,79,1,Yes,12,PhD,34,4
E00024,48,Female,Marketing,12,HR Specialist,100465,1,60,5,Yes,27,High School,39,4
E00025,49,Female,IT,13,Sales Executive,58546,1,74,3,Yes,26,PhD,48,4
E00026,37,Female,R&D,1,Sales Executive,84466,2,60,4,Yes,6,High School,67,4
E00027,36,Male,HR,15,R&D Engineer,61794,4,59,3,No,2,PhD,48,2
E00028,24,Male,Finance,16,R&D Engineer,118062,4,53,3,Yes,26,High School,27,5
E00029,58,Male,IT,2,HR Specialist,85032,1,55,1,Yes,28,High School,47,1
E00030,28,Male,Marketing,9,HR Specialist,57343,5,81,5,No,15,High School,74,4
E00031,42,Female,IT,10,Analyst,117416,5,53,4,No,2,PhD,38,4
E00032,30,Male,Marketing,16,Analyst,109421,5,58,2,No,21,PhD,51,5
E00033,39,Female,Sales,15,R&D Engineer,53601,1,92,4,No,1,Master's,38,2
E00034,25,Male,Sales,3,Developer,80638,1,97,4,No,21,Bachelor's,20,4
E00035,46,Male,R&D,2,R&D Engineer,71479,4,59,3,Yes,6,Master's,41,3
E00036,35,Female,R&D,8,Developer,58138,2,77,5,No,25,Bachelor's,35,5
E00037,30,Male,Marketing,16,HR Specialist,62442,3,98,1,No,16,Bachelor's,70,3
E00038,47,Male,IT,9,Analyst,110774,4,99,3,Yes,12,PhD,74,5
E00039,23,Male,R&D,3,HR Specialist,54487,1,96,3,No,2,Bachelor's,38,4
E00040,41,Male,HR,17,HR Specialist,117051,1,62,5,No,7,Master's,48,1
E00041,49,Female,IT,13,Sales Executive,81771,5,81,3,Yes,26,High School,64,3
E00042,28,Male,R&D,16,HR Specialist,74497,1,87,1,Yes,27,PhD,38,2
E00043,29,Male,IT,5,Developer,57212,1,93,4,Yes,26,Bachelor's,54,4
E00044,56,Male,HR,5,Sales Executive,110055,5,66,1,Yes,26,PhD,42,4
E00045,35,Female,IT,3,Analyst,65807,3,67,1,No,22,High School,60,1
E00046,38,Female,IT,13,Developer,87362,1,56,4,No,24,Master's,23,5
E00047,57,Male,Finance,8,Manager,87382,5,63,2,Yes,8,Bachelor's,30,4
E00048,25,Male,Marketing,8,Analyst,91543,5,81,2,No,7,Master's,42,3
E00049,23,Male,Sales,17,R&D Engineer,45821,2,92,2,No,13,Master's,26,3
E00050,27,Female,R&D,15,Manager,81428,1,59,3,No,21,PhD,67,4
E00051,25,Male,R&D,4,Developer,118072,3,76,5,No,25,Bachelor's,42,3
E00052,50,Male,R&D,18,Analyst,107965,3,90,3,No,22,PhD,46,4
E00053,39,Female,Marketing,7,Manager,89450,4,90,3,Yes,7,High School,70,2
E00054,47,Female,IT,10,Manager,83339,1,55,1,No,19,High School,22,5
E00055,55,Female,HR,1,Analyst,53528,5,50,2,Yes,26,High School,24,1
E00056,31,Male,HR,4,HR Specialist,49525,5,82,1,Yes,12,Bachelor's,58,1
E00057,57,Male,Sales,11,Developer,100147,2,59,3,Yes,26,PhD,77,1
E00058,35,Male,Sales,15,Developer,40029,5,99,3,Yes,16,PhD,21,2
E00059,52,Female,Sales,15,Sales Executive,41584,5,67,4,Yes,7,High School,67,1
E00060,36,Male,HR,3,Analyst,77480,4,91,1,Yes,3,Bachelor's,61,3
E00061,29,Male,IT,19,Developer,68302,5,65,1,Yes,16,Bachelor's,51,2
E00062,35,Female,Sales,14,Manager,99222,2,89,3,Yes,2,Bachelor's,51,3
E00063,44,Female,Sales,3,Analyst,101994,2,60,1,No,15,High School,29,3
E00064,42,Male,HR,8,R&D Engineer,115170,4,93,5,No,9,Master's,37,2
E00065,37,Female,R&D,10,Manager,74899,3,68,2,Yes,9,Bachelor's,56,1
E00066,39,Male,IT,9,Analyst,57906,4,77,3,Yes,25,High School,73,3
E00067,45,Male,Sales,15,Manager,50793,1,50,5,Yes,16,Master's,76,5
E00068,47,Male,IT,9,Manager,49819,4,87,5,No,29,PhD,64,2
E00069,46,Female,Finance,4,Analyst,66015,3,73,4,No,5,Master's,23,4
E00070,50,Male,R&D,12,Sales Executive,49799,4,80,2,No,12,PhD,71,2
E00071,36,Female,R&D,19,Manager,65647,1,96,5,Yes,28,High School,54,4
E00072,22,Female,Sales,1,Analyst,77102,3,80,5,No,6,Master's,62,5
E00073,46,Female,Sales,14,HR Specialist,43736,1,60,4,Yes,7,Master's,78,1
