EmployeeID,Age,Gender,Department,Tenure,JobRole,Salary,JobSatisfaction,EngagementScore,PerformanceRating,WorkLifeBalance,DistanceFromHome,TrainingHours,Overtime,EducationLevel,Risk Category
E00001,35,Female,Marketing,13,Technician,71074,6,47,3,2,46,29,No,Master's,Medium Risk
E00002,23,Female,Finance,20,Manager,100692,3,26,1,1,18,65,Yes,Bachelor's,High Risk
E00003,41,Female,Marketing,16,Technician,53434,4,43,2,2,17,69,No,Bachelor's,Medium Risk
E00004,39,Female,R&D,8,Manager,108846,5,73,3,2,13,65,No,Bachelor's,Medium Risk
E00005,52,Female,Sales,14,Engineer,93854,8,95,4,5,24,12,No,High School,Low Risk
E00006,22,Female,Marketing,11,Developer,112300,10,94,4,5,14,64,No,Bachelor's,Low Risk
E00007,53,Male,HR,1,Technician,45836,8,99,4,5,25,58,No,High School,Low Risk
E00008,50,Male,HR,10,Technician,82090,1,19,1,1,14,60,Yes,Master's,High Risk
E00009,36,Male,Sales,15,Analyst,78701,6,42,3,3,29,90,No,Bachelor's,Medium Risk
E00010,29,Male,Finance,3,Analyst,112142,5,43,2,3,33,69,Yes,Bachelor's,Medium Risk
E00011,42,Male,Marketing,1,Analyst,91300,8,88,5,4,14,95,Yes,Bachelor's,Low Risk
E00012,35,Female,Sales,7,Engineer,55803,1,2,1,1,45,56,Yes,Master's,High Risk
E00013,32,Male,Finance,6,Manager,101393,1,38,1,1,41,13,Yes,Bachelor's,High Risk
E00014,36,Male,Finance,12,Manager,48434,9,97,5,5,34,78,No,High School,Low Risk
E00015,45,Female,Finance,16,Analyst,113084,10,83,4,4,11,30,No,High School,Low Risk
E00016,51,Female,Sales,9,Engineer,100078,10,100,5,4,11,99,Yes,Master's,Low Risk
E00017,57,Female,Sales,3,Technician,57148,5,58,3,2,22,33,No,High School,Medium Risk
E00018,46,Female,Finance,10,Developer,90990,4,51,2,3,44,78,No,Bachelor's,Medium Risk
E00019,31,Male,Finance,1,Engineer,86346,5,42,3,3,36,96,No,Bachelor's,Medium Risk
E00020,35,Male,Marketing,13,Manager,42279,9,76,4,5,14,61,No,High School,Low Risk
E00021,50,Female,HR,2,Technician,95239,6,40,2,2,11,70,Yes,Master's,Medium Risk
E00022,54,Male,Finance,16,Technician,70462,9,75,5,4,8,91,No,Bachelor's,Low Risk
E00023,34,Male,HR,13,Developer,100557,8,93,5,5,37,56,Yes,High School,Low Risk
E00024,48,Male,HR,6,Manager,68509,5,68,3,2,42,35,No,Bachelor's,Medium Risk
E00025,26,Male,Sales,6,Technician,82141,5,72,2,2,12,16,No,High School,Medium Risk
E00026,49,Female,R&D,1,Developer,83311,7,69,3,2,38,61,No,Master's,Medium Risk
E00027,56,Female,HR,11,Engineer,40125,9,76,4,5,34,76,No,High School,Low Risk
E00028,35,Female,HR,14,Analyst,116007,4,68,2,3,37,16,Yes,Bachelor's,Medium Risk
E00029,41,Female,Sales,6,Analyst,79099,4,51,2,2,35,93,Yes,Bachelor's,Medium Risk
E00030,49,Male,Marketing,14,Engineer,83173,10,97,4,5,12,20,Yes,High School,Low Risk
E00031,42,Female,Marketing,5,Manager,115849,6,56,2,3,38,73,No,Bachelor's,Medium Risk
E00032,41,Male,R&D,9,Analyst,94383,9,78,4,4,3,25,No,Bachelor's,Low Risk
E00033,28,Female,HR,17,Analyst,50068,9,80,5,4,22,71,No,High School,Low Risk
E00034,40,Male,Sales,17,Manager,109451,3,33,1,1,10,51,Yes,Master's,High Risk
E00035,38,Male,Finance,8,Technician,49199,1,18,1,1,34,28,Yes,High School,High Risk
E00036,56,Male,HR,18,Engineer,85910,3,2,1,1,41,35,Yes,Bachelor's,High Risk
E00037,38,Female,HR,2,Technician,88275,4,72,3,2,42,51,Yes,Bachelor's,Medium Risk
E00038,40,Male,HR,19,Technician,109805,8,91,4,5,18,24,No,Bachelor's,Low Risk
E00039,46,Male,HR,11,Technician,48276,6,60,3,2,46,66,Yes,Bachelor's,Medium Risk
E00040,33,Female,R&D,6,Developer,49659,4,59,2,3,39,64,No,High School,Medium Risk
E00041,52,Male,HR,17,Developer,115001,9,94,4,5,27,42,No,High School,Low Risk
E00042,54,Female,R&D,7,Engineer,56162,6,46,3,3,2,92,No,High School,Medium Risk
E00043,29,Female,Marketing,2,Analyst,95187,8,86,4,4,33,41,No,Bachelor's,Low Risk
E00044,48,Male,Marketing,5,Analyst,100399,1,4,1,1,33,17,Yes,Bachelor's,High Risk
E00045,52,Male,R&D,8,Analyst,119104,10,86,4,4,10,20,Yes,Master's,Low Risk
E00046,34,Female,Finance,14,Developer,66429,6,43,3,2,28,12,Yes,Master's,Medium Risk
E00047,42,Female,HR,1,Analyst,92287,6,58,2,3,19,32,No,High School,Medium Risk
E00048,41,Female,HR,13,Technician,101936,7,54,2,3,47,86,Yes,High School,Medium Risk
E00049,35,Male,R&D,10,Analyst,102390,4,54,3,2,18,78,No,Bachelor's,Medium Risk
